country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,2,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,9,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,18,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,4,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,23,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,24,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,29,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,31,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,33,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,38,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,44,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,42,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,40,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,40,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,49,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,41,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,43,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,44,Total,Units,%,Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,49,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,90,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,93,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,93,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,96,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,97,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,94,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,95,Total,Units,%,Estimated value,Free,,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,98,Total,Units,%,Estimated value,Free,,Total
